"Date";"Value"
"09/01/1987";48,1165
"10/01/1987";48,557
"11/01/1987";48,557
"12/01/1987";48,55667
"01/01/1988";49,032
"02/01/1988";49,032
"03/01/1988";49,03151
"04/01/1988";49,087
"05/01/1988";49,087
"06/01/1988";49,08744
"07/01/1988";49,257
"08/01/1988";49,257
"09/01/1988";49,25732
"10/01/1988";49,715
"11/01/1988";49,715
"12/01/1988";49,71548
"01/01/1989";49,733
"02/01/1989";49,733
"03/01/1989";49,73276
"04/01/1989";49,888
"05/01/1989";49,888
"06/01/1989";49,8876
"07/01/1989";50,171
"08/01/1989";50,171
"09/01/1989";50,17117
"10/01/1989";51,381
"11/01/1989";51,381
"12/01/1989";51,38111
"01/01/1990";51,969
"02/01/1990";51,969
"03/01/1990";51,96856
"04/01/1990";52,747
"05/01/1990";52,747
"06/01/1990";52,7473
"07/01/1990";53,753
"08/01/1990";53,753
"09/01/1990";53,75313
"10/01/1990";56,036
"11/01/1990";56,036
"12/01/1990";56,03613
"01/01/1991";57,417
"02/01/1991";57,417
"03/01/1991";57,41652
"04/01/1991";57,746
"05/01/1991";57,746
"06/01/1991";57,74551
"07/01/1991";59,061
"08/01/1991";59,061
"09/01/1991";59,06123
"10/01/1991";60,686
"11/01/1991";60,686
"12/01/1991";60,68599
"01/01/1992";60,997
"02/01/1992";60,997
"03/01/1992";60,99679
"04/01/1992";61,579
"05/01/1992";61,579
"06/01/1992";61,57938
"07/01/1992";61,898
"08/01/1992";61,898
"09/01/1992";61,89802
"10/01/1992";62,523
"11/01/1992";62,523
"12/01/1992";62,52256
"01/01/1993";62,867
"02/01/1993";62,867
"03/01/1993";62,86657
"04/01/1993";63,915
"05/01/1993";63,915
"06/01/1993";63,91524
"07/01/1993";64,101
"08/01/1993";64,101
"09/01/1993";64,10093
"10/01/1993";64,669
"11/01/1993";64,669
"12/01/1993";64,66861
"01/01/1994";64,307
"02/01/1994";64,307
"03/01/1994";64,30709
"04/01/1994";64,107
"05/01/1994";64,107
"06/01/1994";64,10716
"07/01/1994";64,012
"08/01/1994";64,012
"09/01/1994";64,01176
"10/01/1994";64,386
"11/01/1994";64,386
"12/01/1994";64,38584
"01/01/1995";64,663
"02/01/1995";64,663
"03/01/1995";64,66271
"04/01/1995";65,313
"05/01/1995";65,313
"06/01/1995";65,31294
"07/01/1995";64,739
"08/01/1995";64,739
"09/01/1995";64,73906
"10/01/1995";64,183
"11/01/1995";64,183
"12/01/1995";64,18282
"01/01/1996";65,042
"02/01/1996";65,042
"03/01/1996";65,04171
"04/01/1996";64,25
"05/01/1996";64,25
"06/01/1996";64,2497
"07/01/1996";64,255
"08/01/1996";64,255
"09/01/1996";64,25469
"10/01/1996";64,447
"11/01/1996";64,447
"12/01/1996";64,44697
"01/01/1997";64,344
"02/01/1997";64,344
"03/01/1997";64,34428
"04/01/1997";63,109
"05/01/1997";63,109
"06/01/1997";63,10907
"07/01/1997";62,487
"08/01/1997";62,487
"09/01/1997";62,48709
"10/01/1997";62,77
"11/01/1997";62,77
"12/01/1997";62,77032
"01/01/1998";62,51
"02/01/1998";62,51
"03/01/1998";62,50988
"04/01/1998";61,852
"05/01/1998";61,852
"06/01/1998";61,85196
"07/01/1998";60,587
"08/01/1998";60,587
"09/01/1998";60,58693
